technician_id,employee_id,first_name,last_name,email,phone,hire_date,employment_status,employment_type,department,job_title,seniority_level,supervisor_id,base_salary,hourly_rate,overtime_rate,primary_trade,secondary_trade,specialization,certification_hvac,certification_electrical,certification_plumbing,certification_fire_safety,certification_elevator,license_number,license_expiry,background_check_date,drug_test_date,home_address_city,home_address_state,assigned_territory,service_area_radius_miles,current_location_lat,current_location_lon,availability_status,shift_start,shift_end,on_call_today,weekend_availability,after_hours_availability,average_rating,total_ratings,total_work_orders,completed_work_orders,in_progress_work_orders,cancelled_work_orders,average_resolution_time_hours,first_time_fix_rate,customer_satisfaction_score,response_time_avg_minutes,utilization_rate,billable_hours_ytd,non_billable_hours_ytd,overtime_hours_ytd,sick_days_ytd,vacation_days_ytd,training_hours_ytd,skills_hvac_level,skills_electrical_level,skills_plumbing_level,skills_carpentry_level,skills_painting_level,skills_roofing_level,tools_assigned_count,vehicle_assigned,vehicle_number,vehicle_type,vehicle_mileage,last_safety_training,last_technical_training,performance_score,productivity_score,quality_score,attendance_score,years_experience,total_certifications,languages_spoken,emergency_contact_name,emergency_contact_phone,uniform_size,equipment_issued
201,EMP-1001,Marcus,Chen,marcus.chen@facilities.com,555-0101,2019-03-15,Active,Full-Time,Field Operations,Senior HVAC Technician,Senior,301,75000,48.00,72.00,HVAC,Electrical,Commercial HVAC,TRUE,TRUE,FALSE,FALSE,FALSE,HVAC-MA-892341,2025-06-30,2023-12-01,2024-01-15,Boston,MA,Greater Boston,50,42.3601,-71.0589,Available,07:00:00,15:30:00,FALSE,TRUE,TRUE,4.6,127,1247,1198,3,46,3.2,0.87,4.6,52,0.82,1876,234,145,2,10,24,Expert,Advanced,Intermediate,Basic,Basic,None,45,TRUE,VAN-047,Cargo Van,47892,2024-01-10,2023-11-15,94,92,96,98,8,4,English|Spanish,Lisa Chen,555-0199,L,Full Kit
202,EMP-1002,Sarah,Williams,sarah.williams@facilities.com,555-0102,2020-07-22,Active,Full-Time,Field Operations,Plumbing Specialist,Mid-Level,301,62000,39.00,58.50,Plumbing,HVAC,Residential Plumbing,FALSE,FALSE,TRUE,FALSE,FALSE,PLB-MA-445782,2025-11-20,2023-10-15,2024-02-01,Cambridge,MA,Cambridge Area,35,42.3736,-71.1097,On Job,08:00:00,16:30:00,FALSE,FALSE,TRUE,4.5,98,856,821,2,33,2.8,0.91,4.5,48,0.88,1542,198,87,1,8,16,Intermediate,Basic,Expert,None,None,None,38,TRUE,VAN-023,Cargo Van,32145,2024-02-05,2023-12-20,91,94,89,96,6,2,English,John Williams,555-0198,M,Full Kit
203,EMP-1003,David,Rodriguez,david.rodriguez@facilities.com,555-0103,2018-01-10,Active,Full-Time,Field Operations,Master Electrician,Senior,301,82000,52.00,78.00,Electrical,Electronics,Industrial Electrical,TRUE,TRUE,FALSE,TRUE,FALSE,ELEC-MA-778923,2025-08-15,2023-11-20,2024-01-20,Somerville,MA,Metro Boston,45,42.3876,-71.0995,Available,06:00:00,14:30:00,TRUE,TRUE,TRUE,4.8,156,1534,1489,4,41,2.9,0.93,4.8,45,0.91,2145,187,198,0,12,32,Advanced,Expert,Basic,Intermediate,None,None,52,TRUE,TRUCK-012,Service Truck,58234,2024-01-25,2023-10-30,97,96,98,99,12,5,English|Portuguese,Maria Rodriguez,555-0197,XL,Full Kit
204,EMP-1004,Jennifer,Thompson,jennifer.thompson@facilities.com,555-0104,2021-05-18,Active,Full-Time,Field Operations,General Maintenance Tech,Mid-Level,301,55000,34.00,51.00,General,Multi-Trade,Building Maintenance,TRUE,FALSE,TRUE,FALSE,FALSE,MAINT-MA-334556,2025-12-10,2023-09-01,2024-03-01,Brookline,MA,Brookline Area,30,42.3318,-71.1211,On Break,07:30:00,16:00:00,FALSE,TRUE,FALSE,4.4,89,734,701,1,32,3.5,0.85,4.4,65,0.79,1298,245,62,3,7,20,Intermediate,Basic,Intermediate,Advanced,Advanced,Basic,42,TRUE,VAN-031,Cargo Van,28956,2024-03-10,2024-01-05,88,87,89,94,5,3,English,Robert Thompson,555-0196,M,Full Kit
205,EMP-1005,Michael,Anderson,michael.anderson@facilities.com,555-0105,2017-09-05,Active,Full-Time,Field Operations,Security Systems Tech,Senior,302,71000,45.00,67.50,Security,Electrical,Access Control,FALSE,TRUE,FALSE,TRUE,FALSE,SEC-MA-667834,2025-09-30,2023-12-10,2024-02-15,Newton,MA,Newton Area,40,42.3370,-71.2092,Available,08:00:00,16:30:00,FALSE,FALSE,TRUE,4.7,112,1089,1054,2,33,2.6,0.89,4.7,58,0.85,1789,223,112,1,10,28,Basic,Expert,None,Basic,None,None,48,TRUE,VAN-019,Cargo Van,41678,2024-02-20,2023-12-01,93,91,95,97,10,4,English|French,Laura Anderson,555-0195,L,Full Kit
206,EMP-1006,Emily,Martinez,emily.martinez@facilities.com,555-0106,2022-02-14,Active,Full-Time,Field Operations,HVAC Technician,Junior,201,48000,30.00,45.00,HVAC,General,Residential HVAC,TRUE,FALSE,FALSE,FALSE,FALSE,HVAC-MA-112290,2026-01-15,2023-08-15,2024-01-10,Quincy,MA,South Shore,35,42.2529,-71.0023,On Job,07:00:00,15:30:00,FALSE,TRUE,TRUE,4.3,67,445,421,2,22,4.1,0.81,4.3,72,0.74,987,189,45,2,5,18,Advanced,Basic,Basic,None,None,None,35,TRUE,VAN-042,Cargo Van,18234,2024-01-30,2024-02-10,85,83,87,91,3,2,English|Spanish,Carlos Martinez,555-0194,S,Full Kit
207,EMP-1007,James,Lee,james.lee@facilities.com,555-0107,2019-11-20,Active,Full-Time,Field Operations,Elevator Technician,Mid-Level,302,68000,43.00,64.50,Elevator,Mechanical,Elevator Maintenance,FALSE,TRUE,FALSE,FALSE,TRUE,ELEV-MA-889912,2025-07-20,2023-10-20,2024-03-05,Waltham,MA,West Suburbs,40,42.3765,-71.2356,Available,06:00:00,14:30:00,TRUE,FALSE,TRUE,4.6,94,823,798,1,24,3.8,0.88,4.6,55,0.83,1456,198,134,1,8,22,Basic,Intermediate,Basic,Basic,None,None,41,FALSE,POOL,Pool Vehicle,0,2024-03-01,2023-11-25,90,89,91,95,7,3,English|Korean,Sung Lee,555-0193,M,Full Kit
208,EMP-1008,Ashley,Brown,ashley.brown@facilities.com,555-0108,2020-03-30,Active,Full-Time,Field Operations,Fire Safety Specialist,Mid-Level,302,64000,40.00,60.00,Fire Safety,Electrical,Fire Alarm Systems,FALSE,TRUE,FALSE,TRUE,FALSE,FIRE-MA-445667,2025-10-30,2023-11-05,2024-02-20,Medford,MA,North Boston,38,42.4184,-71.1062,On Job,07:30:00,16:00:00,FALSE,TRUE,FALSE,4.7,103,912,881,3,28,2.7,0.92,4.7,50,0.87,1634,187,98,1,9,26,Basic,Advanced,None,None,None,None,39,TRUE,VAN-028,Cargo Van,35678,2024-02-25,2023-12-15,92,93,91,96,6,4,English,Michael Brown,555-0192,S,Full Kit
209,EMP-1009,Christopher,Wilson,chris.wilson@facilities.com,555-0109,2021-08-12,Active,Full-Time,Field Operations,Plumbing Technician,Junior,202,51000,32.00,48.00,Plumbing,General,Commercial Plumbing,FALSE,FALSE,TRUE,FALSE,FALSE,PLB-MA-223445,2026-02-28,2023-09-10,2024-01-25,Malden,MA,Malden Area,30,42.4251,-71.0662,Available,08:00:00,16:30:00,FALSE,FALSE,TRUE,4.2,58,398,378,1,19,3.9,0.83,4.2,68,0.76,876,167,52,2,6,15,None,Basic,Advanced,Basic,None,None,32,TRUE,VAN-036,Cargo Van,22145,2024-01-15,2024-02-05,83,81,85,89,4,2,English,Susan Wilson,555-0191,L,Full Kit
210,EMP-1010,Amanda,Garcia,amanda.garcia@facilities.com,555-0110,2018-06-25,Active,Full-Time,Field Operations,Carpentry Specialist,Senior,301,69000,44.00,66.00,Carpentry,General,Finish Carpentry,FALSE,FALSE,FALSE,FALSE,FALSE,CARP-MA-556778,2025-05-15,2023-12-05,2024-02-10,Arlington,MA,Arlington Area,35,42.4154,-71.1565,Available,07:00:00,15:30:00,FALSE,TRUE,TRUE,4.5,91,998,967,2,29,3.4,0.86,4.5,63,0.81,1567,212,89,1,11,24,None,Basic,Basic,Expert,Advanced,Basic,44,TRUE,TRUCK-008,Service Truck,44567,2024-02-15,2023-10-20,89,88,90,93,9,2,English|Spanish,Jose Garcia,555-0190,M,Full Kit
